from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes,trans_type
NSW,Banks,-33.967,151.066,NSW,Hume,-34.409,149.045,263830,10447,car
NSW,Banks,-33.967,151.066,NSW,Hunter,-32.375,150.778,262942,12237,car
NSW,Banks,-33.967,151.066,NSW,Kingsford Smith,-33.949,151.231,21250,1648,car
NSW,Banks,-33.967,151.066,NSW,Lindsay,-33.751,150.711,56971,2887,car
NSW,Banks,-33.967,151.066,NSW,Lyne,-31.602,152.277,373910,17487,car
NSW,Banks,-33.967,151.066,NSW,Macarthur,-34.065,150.764,41403,2065,car
NSW,Banks,-33.967,151.066,NSW,Mackellar,-33.669,151.253,46170,3856,car
NSW,Banks,-33.967,151.066,NSW,Macquarie,-33.475,150.642,92479,5856,car
NSW,Banks,-33.967,151.066,NSW,McMahon,-33.837,150.859,36744,1854,car
NSW,Banks,-33.967,151.066,NSW,Mitchell,-33.71,150.96,60937,3072,car
NSW,Banks,-33.967,151.066,NSW,New England,-30.319,151.315,506957,23501,car
NSW,Banks,-33.967,151.066,NSW,Newcastle,-32.841,151.753,183866,9385,car
NSW,Banks,-33.967,151.066,NSW,North Sydney,-33.816,151.184,34633,2113,car
NSW,Banks,-33.967,151.066,NSW,Page,-29.275,152.804,692131,29059,car
NSW,Banks,-33.967,151.066,NSW,Parkes,-30.887,147.373,616059,26592,car
NSW,Banks,-33.967,151.066,NSW,Parramatta,-33.809,151.011,23812,2126,car
NSW,Banks,-33.967,151.066,NSW,Paterson,-32.40694,151.91806,230089,11401,car
NSW,Banks,-33.967,151.066,NSW,Reid,-33.853,151.084,17324,1767,car
NSW,Banks,-33.967,151.066,NSW,Richmond,-28.511,153.363,796667,33787,car
NSW,Banks,-33.967,151.066,NSW,Riverina,-34.427,146.7,496520,18680,car
NSW,Banks,-33.967,151.066,NSW,Robertson,-33.382,151.213,79358,4953,car
NSW,Banks,-33.967,151.066,NSW,Shortland,-33.112,151.617,139247,7648,car
NSW,Banks,-33.967,151.066,NSW,Sydney,-33.895,151.2,24363,1852,car
NSW,Banks,-33.967,151.066,NSW,Watson,-33.908,151.077,9186,1128,car
NSW,Banks,-33.967,151.066,NSW,Wentworth,-33.883,151.253,29068,2115,car
NSW,Banks,-33.967,151.066,NSW,Werriwa,-33.981,150.843,26582,1722,car
NSW,Banks,-33.967,151.066,NSW,Whitlam,-34.534,150.552,113243,5122,car
NSW,Banks,-33.967,151.066,NSW,Sydney Airport,-33.940248,151.175186,16503,1302,car
NSW,Barton,-33.956,151.129,NSW,Bennelong,-33.793,151.099,24990,2348,car
NSW,Barton,-33.956,151.129,NSW,Berowra,-33.568,151.047,66981,4620,car
NSW,Barton,-33.956,151.129,NSW,Blaxland,-33.888,151,19724,1724,car
NSW,Barton,-33.956,151.129,NSW,Bradfield,-33.732,151.146,40055,2790,car
NSW,Barton,-33.956,151.129,NSW,Calare,-33.306,148.922,279445,13507,car
NSW,Barton,-33.956,151.129,NSW,Chifley,-33.735,150.838,53891,2548,car
NSW,Barton,-33.956,151.129,NSW,Cook,-34.031,151.1,11277,1113,car
NSW,Barton,-33.956,151.129,NSW,Cowper,-30.384,152.87,547976,21736,car
NSW,Barton,-33.956,151.129,NSW,Cunningham,-34.259,150.916,47055,3248,car
NSW,Barton,-33.956,151.129,NSW,Dobell,-33.248,151.366,122429,6163,car
NSW,Barton,-33.956,151.129,NSW,Eden-Monaro,-36.292,149.344,413835,17072,car
NSW,Barton,-33.956,151.129,NSW,Farrer,-32.501,143.311,965202,40833,car
NSW,Barton,-33.956,151.129,NSW,Fowler,-33.9,150.877,28834,1939,car
NSW,Barton,-33.956,151.129,NSW,Gilmore,-35.067,150.398,174780,8520,car
NSW,Barton,-33.956,151.129,NSW,Grayndler,-33.897,151.148,9202,1195,car
NSW,Barton,-33.956,151.129,NSW,Greenway,-33.733,150.913,60281,2760,car
NSW,Barton,-33.956,151.129,NSW,Hughes,-33.992,150.975,26896,1930,car
NSW,Barton,-33.956,151.129,NSW,Hume,-34.409,149.045,267962,10599,car
NSW,Barton,-33.956,151.129,NSW,Hunter,-32.375,150.778,275325,12064,car
NSW,Barton,-33.956,151.129,NSW,Kingsford Smith,-33.949,151.231,12470,1285,car
NSW,Barton,-33.956,151.129,NSW,Lindsay,-33.751,150.711,61103,3038,car
