2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:48 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,65158,Other Mobile Team 1,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,11,0.25
ACT,101,Canberra,65158,Other Mobile Team 1,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,4,15.99
ACT,101,Canberra,65158,Other Mobile Team 1,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,2,1.75
ACT,101,Canberra,65158,Other Mobile Team 1,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,8,6.98
ACT,101,Canberra,65158,Other Mobile Team 1,999,Informal,Informal,999,N,N,,Informal,0,-0.01
ACT,101,Canberra,65741,Parkes (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1025,-3.4
ACT,101,Canberra,65741,Parkes (Canberra),28336,CAHILL,Patricia,2,N,N,GRN,The Greens,653,4.57
ACT,101,Canberra,65741,Parkes (Canberra),29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,131,-0.05
ACT,101,Canberra,65741,Parkes (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,802,2.06
ACT,101,Canberra,65741,Parkes (Canberra),999,Informal,Informal,999,N,N,,Informal,18,-1.65
ACT,101,Canberra,65742,Parkes PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,0,0
ACT,101,Canberra,65742,Parkes PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,0,0
ACT,101,Canberra,65742,Parkes PPVC,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,0,0
ACT,101,Canberra,65742,Parkes PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,0,0
ACT,101,Canberra,65742,Parkes PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
ACT,101,Canberra,8784,Pearce,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1105,0.71
ACT,101,Canberra,8784,Pearce,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,375,0.54
ACT,101,Canberra,8784,Pearce,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,108,0.16
ACT,101,Canberra,8784,Pearce,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,927,2.41
ACT,101,Canberra,8784,Pearce,999,Informal,Informal,999,N,N,,Informal,80,-0.81
ACT,101,Canberra,8785,Red Hill,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,851,0.38
ACT,101,Canberra,8785,Red Hill,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,353,0.46
ACT,101,Canberra,8785,Red Hill,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,90,-0.21
ACT,101,Canberra,8785,Red Hill,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,936,2.01
ACT,101,Canberra,8785,Red Hill,999,Informal,Informal,999,N,N,,Informal,43,-0.85
ACT,101,Canberra,8786,Richardson,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,779,6.81
ACT,101,Canberra,8786,Richardson,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,153,0.35
