2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:50 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,7010,Clarence Park,29552,COLOVIC,David,5,N,N,LP,Liberal,468,-7.05
SA,179,Adelaide,7010,Clarence Park,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,342,-5.61
SA,179,Adelaide,7010,Clarence Park,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,160,14.38
SA,179,Adelaide,7010,Clarence Park,999,Informal,Informal,999,N,N,,Informal,35,-1.14
SA,179,Adelaide,6664,College Park,29106,GUY,Sophie,1,N,N,GRN,The Greens,80,0.88
SA,179,Adelaide,6664,College Park,29059,RIVISH,Adrian,2,N,N,FFP,Family First,12,-0.27
SA,179,Adelaide,6664,College Park,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,6,0.73
SA,179,Adelaide,6664,College Park,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,13,1.58
SA,179,Adelaide,6664,College Park,29552,COLOVIC,David,5,N,N,LP,Liberal,440,0.06
SA,179,Adelaide,6664,College Park,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,201,-9.41
SA,179,Adelaide,6664,College Park,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,73,8.85
SA,179,Adelaide,6664,College Park,999,Informal,Informal,999,N,N,,Informal,9,-2.21
SA,179,Adelaide,36447,Croydon (Adelaide),29106,GUY,Sophie,1,N,N,GRN,The Greens,51,5.77
SA,179,Adelaide,36447,Croydon (Adelaide),29059,RIVISH,Adrian,2,N,N,FFP,Family First,4,-3.34
SA,179,Adelaide,36447,Croydon (Adelaide),28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,7,2.13
SA,179,Adelaide,36447,Croydon (Adelaide),29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,2,0.61
SA,179,Adelaide,36447,Croydon (Adelaide),29552,COLOVIC,David,5,N,N,LP,Liberal,60,-6.45
SA,179,Adelaide,36447,Croydon (Adelaide),29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,154,-10.67
SA,179,Adelaide,36447,Croydon (Adelaide),29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,50,15.24
SA,179,Adelaide,36447,Croydon (Adelaide),999,Informal,Informal,999,N,N,,Informal,9,-1.07
SA,179,Adelaide,6657,Croydon Park,29106,GUY,Sophie,1,N,N,GRN,The Greens,90,1.19
SA,179,Adelaide,6657,Croydon Park,29059,RIVISH,Adrian,2,N,N,FFP,Family First,54,0.27
SA,179,Adelaide,6657,Croydon Park,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,21,1.51
SA,179,Adelaide,6657,Croydon Park,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,26,1.87
SA,179,Adelaide,6657,Croydon Park,29552,COLOVIC,David,5,N,N,LP,Liberal,239,-6.14
SA,179,Adelaide,6657,Croydon Park,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,799,-5.27
SA,179,Adelaide,6657,Croydon Park,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,161,11.58
SA,179,Adelaide,6657,Croydon Park,999,Informal,Informal,999,N,N,,Informal,77,-0.81
SA,179,Adelaide,30170,Divisional Office (PREPOLL),29106,GUY,Sophie,1,N,N,GRN,The Greens,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),29059,RIVISH,Adrian,2,N,N,FFP,Family First,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),29552,COLOVIC,David,5,N,N,LP,Liberal,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,0,0
SA,179,Adelaide,6887,Dulwich,29106,GUY,Sophie,1,N,N,GRN,The Greens,94,-0.53
SA,179,Adelaide,6887,Dulwich,29059,RIVISH,Adrian,2,N,N,FFP,Family First,9,0.16
SA,179,Adelaide,6887,Dulwich,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,8,0.6
SA,179,Adelaide,6887,Dulwich,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,4,0.3
SA,179,Adelaide,6887,Dulwich,29552,COLOVIC,David,5,N,N,LP,Liberal,783,-0.34
SA,179,Adelaide,6887,Dulwich,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,314,-8.36
SA,179,Adelaide,6887,Dulwich,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,130,9.69
SA,179,Adelaide,6887,Dulwich,999,Informal,Informal,999,N,N,,Informal,16,-2.14
SA,179,Adelaide,6659,Enfield,29106,GUY,Sophie,1,N,N,GRN,The Greens,119,-0.15
SA,179,Adelaide,6659,Enfield,29059,RIVISH,Adrian,2,N,N,FFP,Family First,60,-0.28
SA,179,Adelaide,6659,Enfield,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,32,1.72
SA,179,Adelaide,6659,Enfield,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,18,0.97
SA,179,Adelaide,6659,Enfield,29552,COLOVIC,David,5,N,N,LP,Liberal,442,-11.32
SA,179,Adelaide,6659,Enfield,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,919,-1.12
SA,179,Adelaide,6659,Enfield,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,273,14.65
SA,179,Adelaide,6659,Enfield,999,Informal,Informal,999,N,N,,Informal,94,0.17
SA,179,Adelaide,6660,Enfield North,29106,GUY,Sophie,1,N,N,GRN,The Greens,69,-1.39
SA,179,Adelaide,6660,Enfield North,29059,RIVISH,Adrian,2,N,N,FFP,Family First,19,-0.77
SA,179,Adelaide,6660,Enfield North,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,16,1.76
SA,179,Adelaide,6660,Enfield North,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,10,1.1
SA,179,Adelaide,6660,Enfield North,29552,COLOVIC,David,5,N,N,LP,Liberal,225,-8.61
SA,179,Adelaide,6660,Enfield North,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,436,-2.47
SA,179,Adelaide,6660,Enfield North,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,136,14.93
SA,179,Adelaide,6660,Enfield North,999,Informal,Informal,999,N,N,,Informal,40,-1.68
SA,179,Adelaide,6868,Fullarton,29106,GUY,Sophie,1,N,N,GRN,The Greens,142,1.18
SA,179,Adelaide,6868,Fullarton,29059,RIVISH,Adrian,2,N,N,FFP,Family First,26,-1.01
SA,179,Adelaide,6868,Fullarton,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,10,0.61
SA,179,Adelaide,6868,Fullarton,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,10,0.61
SA,179,Adelaide,6868,Fullarton,29552,COLOVIC,David,5,N,N,LP,Liberal,767,-4.63
SA,179,Adelaide,6868,Fullarton,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,473,-7.68
SA,179,Adelaide,6868,Fullarton,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,205,12.55
SA,179,Adelaide,6868,Fullarton,999,Informal,Informal,999,N,N,,Informal,42,-0.71
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,29106,GUY,Sophie,1,N,N,GRN,The Greens,191,0.55
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,29059,RIVISH,Adrian,2,N,N,FFP,Family First,58,0.04
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,21,0.88
